DISTRICT,sb2q2b
abbottabad,101
astore,601
attock,201
awaran,401
badin,301
bagh,501
bahawalnagar,202
bahawalpur,203
bajur,102
bannu,103
barkhan,402
batagram,104
bhakhar,204
bhimber,502
Biltistan,602
bunair,105
chagai,403
chakwal,205
charsada,106
chiniot,206
chitral,107
d. g. khan,207
d. i. khan,108
dadu,302
dera bugti,404
diamir,603
faisalabad,208
ghanchi,604
ghizer,605
ghotki,303
gilgit,606
gujranwala,209
gujrat,210
gwadar,406
hafizabad,211
hangu,109
haripur,110
harnai,407
hattian bala,503
haveli,504
hyderabad,304
islamabad,212
jacobabad,305
jaffarabad,408
jamshoro,306
jehlum,213
jhal magsi,409
jhang,214
Kachhi/ Bolan,410
kalat,411
karak,111
kashmore,312
kasur,215
Kech/Turbat,412
khairpur,313
khanewal,216
kharan,413
khushab,217
khuzdar,414
khyber,112
kohat,113
kohistan,114
kohlu,415
kotli,505
kurram,115
lahore,218
lakki marwat,116
larkana,315
lasbela,416
layyah,219
lodhran,220
loralai,417
lower dir,117
malakand,118
mandi bahauddin,221
mansehra,119
mardan,120
mastung,418
matiari,316
mianwali,222
mir pur khas,317
mirpur,506
mohmand,121
multan,223
musa khel,419
muzaffar garh,224
muzaffarabad,507
nankana sahib,225
narowal,226
Nasirabad/ Tamboo,420
neelum,508
North Waziristan,122
nowshera,123
Nowshero Feroze,318
nushki,421
okara,227
orakzai,124
pakpattan,228
Panjgoor,422
peshawar,125
pishin,423
qilla abdullah,424
qilla saifullah,425
quetta,426
Rahim Yar Khan,229
rajanpur,230
rawalpindi,231
sahiwal,232
sanghar,319
sargodha,233
Shahdadkot,320
Shaheed Banazir Abad,321
shangla,126
sheikhupura,234
Sherani,428
Shikarpur,322
sialkot,235
sibbi,429
sohbatpur,430
South Waziristan,127
sudhnoti,510
Sujawal,323
sukkur,324
swabi,128
swat,129
T.T. Singh,236
Tando Allah Yar,325
Tando Muhammad Khan,326
tank,130
tharparkar,327
thatta,328
umer kot,329
upper dir,132
vehari,237
washuk,431
zhob,432
ziarat,433
