DISTRICT,avg_hot_days,point_count
ABBOTTABAD,0,2
ASTORE,0,8
ATTOCK,754,10
AWARAN,1206,35
BADIN,692,11
BAGH,0,1
BAHAWALNAGAR,2352,12
BAHAWALPUR,3069,36
BAJAUR AGENCY,16,3
BANNU,1150,2
BARKHAN,207,7
BATAGRAM,0,1
BHAKKAR,2232,12
BHIMBER,493,2
BUNER,124,4
CHAGAI,2917,63
CHAKWAL,441,11
CHARSADDA,1297,1
CHINIOT,1817,3
CHITRAL,0,26
CLIFTON CANTONMENT,0,0
D G KHAN,1985,20
D I KHAN,1849,11
DADU,3172,12
DERA BUGTI,2535,17
DIAMIR,0,11
FAISAL CANTONMENT,0,0
FAISALABAD,1736,9
FR BANNU,0,0
FR D.I.KHAN,110,1
FR KOHAT,543,1
FR LAKKI MARWAT,0,0
FR PESHAWAR,846,1
FR TANK,766,2
GHANCHE,0,12
GHIZER,0,18
GHOTKI,3528,8
GILGIT,0,5
GUJRANWALA,1166,5
GUJRAT,846,4
GWADAR,371,17
HAFIZABAD,1402,3
HANGU,213,3
HARIPUR,185,3
HARNAI,180,6
HATTIAN BALA,0,1
HAVELI,0,2
HUNZA NAGAR,0,23
HYDERABAD,832,1
INDIAN OCCUPIED KASHMIR,17,153
ISLAMABAD,116,2
JACOBABAD,3674,5
JAFFARABAD,3799,2
JAMSHORO,1190,15
JHAL MAGSI,3524,6
JHANG,2300,11
JHELUM,733,5
KACHHI,2682,9
KALAT,26,20
KARACHI CANTONMENT,0,0
KARACHI CENTRAL,0,0
KARACHI EAST,0,0
KARACHI SOUTH,0,0
KARACHI WEST,0,0
KARAK,808,4
KASHMORE,3408,2
KASUR,1340,8
KECH,1481,32
KHAIRPUR,3240,24
KHANEWAL,2383,6
KHARAN,2214,16
KHUSHAB,1532,11
KHUZDAR,579,46
KHYBER AGENCY,215,3
KILLA ABDULLAH,76,8
KILLA SAIFULLAH,10,20
KOHAT,735,4
KOHLU,1248,10
KORANGI,0,0
KORANGI CREEK CANTONMENT,0,0
KOTLI,123,3
KURRAM AGENCY,2,6
LAHORE,1112,2
LAKKI MARWAT,1226,5
LARKANA,3584,3
LASBELA,416,22
LAYYAH,2508,7
LEHRI,3889,7
LODHRAN,2462,3
LORALAI,229,12
LOWER DIR,10,2
LOWER KOHISTAN,0,5
MALAKAND PROTECTED AREA,508,1
MALIR,75,5
MALIR CANTONMENT,0,0
MANDI BAHAUDDIN,1209,5
MANORA CANTONMENT,0,0
MANSEHRA,0,6
MARDAN,755,2
MASTUNG,1,7
MATIARI,1703,3
MIANWALI,1199,10
MIRPUR,313,1
MIRPURKHAS,1251,4
MOHMAND AGENCY,380,4
MULTAN,2568,5
MUSA KHEL,136,11
MUZAFARGARH,2673,12
MUZAFFARABAD,0,4
N. WAZIRASTAN,144,9
NANKANA SAHIB,1441,5
NAROWAL,561,3
NASIRABAD,3855,3
NAUSHAHRO FEROZ,3446,4
NEELUM,0,6
NOWSHERA,831,3
NUSHKI,1844,10
OKARA,1679,5
ORAKZAI AGENCY,3,3
PAKPATTAN,1985,6
PANJGUR,1316,24
PESHAWAR,839,1
PISHIN,1,6
POONCH,0,1
QUETTA,30,3
R Y KHAN,3276,22
RAJANPUR,2662,16
RAWALPINDI,276,10
S. BENAZIRABAD,3032,8
S. WAZIRASTAN,119,8
SAHIWAL,2037,6
SANGHAR,2267,13
SARGODHA,1513,9
SHAHDAD KOT,3338,7
SHANGLA,0,2
SHEERANI,44,4
SHEIKHUPURA,1197,5
SHIKARPHUR,3529,4
SIALKOT,718,5
SIBI,2051,7
SKARDU,0,30
SOHBATPUR,3683,1
SUDHNOTI,4,1
SUJJAWAL,121,13
SUKKUR,3686,9
SWABI,433,4
SWAT,0,9
T. AYAR,1456,2
T. M KHAN,552,1
T. T SINGH,2026,4
TANK,1349,2
THARPARKAR,1515,26
THATTA,206,12
TORDHER,0,0
UMERKOT,1857,11
UPPER DIR,0,6
UPPER KOHISTAN,0,7
VEHARI,2296,6
WASHUK,2731,57
ZHOB,19,18
ZIARAT,4,5
